Product Name,Product URL,Linhagem,Sobre a Genética,THC,THC/CBD,CBD,Tipo (%Sativa e %Indica),Floração,Sabor,Efeito
Delicious Cookies - Automática,https://www.dentistaseeds.com/produtos/delicious-cookies-automatica/,GSC x Wedding Cake x 707 Headband,"Delicious Cookies é uma variedade híbrida conhecida por seu perfil de sabor doce e sua combinação de efeitos relaxantes e eufóricos. Desenvolvida a partir de variedades com características de cookies e um perfil de sabor agradável, esta variedade é apreciada por sua experiência sensorial.",Geralmente varia entre 18% e 22%,,,"Híbrida, com cerca de 60% Indica e 40% Sativa","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Delicious Cookies tem um sabor doce e cremoso, com notas predominantes de baunilha, biscoito e um leve toque de especiarias.","Esta variedade oferece um efeito relaxante e eufórico, proporcionando uma sensação de bem-estar e calma. Delicious Cookies é frequentemente usada para aliviar estresse, ansiedade e dor leve, sendo adequada para uso tanto diurno quanto noturno. É ideal para consumidores que buscam uma experiência saborosa e relaxante, com um perfil de sabor doce e reconfortante."
Double Cookies - Automática,https://www.dentistaseeds.com/produtos/double-cookies-automatica/,Girl Scout Cookies x Thin Mint Cookies,"Double Cookies é uma variedade híbrida que combina Girl Scout Cookies com Thin Mint Cookies. Esta combinação resulta em uma planta com um perfil de sabor doce e cremoso, e efeitos eufóricos e relaxantes.",Geralmente varia entre 20% e 25%,,,"Híbrida, com cerca de 50% Indica e 50% Sativa","Em média, leva cerca de 8 a 10 semanas para florescer completamente","Tem um sabor doce e cremoso, com notas predominantes de chocolate, baunilha e um toque de menta.","Oferece um efeito eufórico e relaxante, proporcionando uma sensação de alegria, tranquilidade e alívio do estresse. Double Cookies é ideal para uso diurno e noturno, sendo perfeita para consumidores que buscam uma experiência equilibrada e agradável."
Double Cookies - Fotoperíodo,https://www.dentistaseeds.com/produtos/double-cookies-fotoperiodo/,Girl Scout Cookies x Thin Mint Cookies,"Double Cookies é uma variedade híbrida que combina Girl Scout Cookies com Thin Mint Cookies. Esta combinação resulta em uma planta com um perfil de sabor doce e cremoso, e efeitos eufóricos e relaxantes.",Geralmente varia entre 20% e 25%,,,"Híbrida, com cerca de 50% Indica e 50% Sativa","Em média, leva cerca de 8 a 10 semanas para florescer completamente","Tem um sabor doce e cremoso, com notas predominantes de chocolate, baunilha e um toque de menta.","Oferece um efeito eufórico e relaxante, proporcionando uma sensação de alegria, tranquilidade e alívio do estresse. Double Cookies é ideal para uso diurno e noturno, sendo perfeita para consumidores que buscam uma experiência equilibrada e agradável."
Forbidden Fruit Cake - Fotoperíodo,https://www.dentistaseeds.com/produtos/forbidden-fruit-cake-fotoperiodo/,Forbidden Fruit x Wedding Cake,"Forbidden Fruit Cake é uma variedade híbrida que combina as melhores qualidades de Forbidden Fruit e Wedding Cake. Esta variedade é conhecida por seu sabor frutado e doce, além de seus efeitos relaxantes e eufóricos.",Geralmente varia entre 18% e 24%,,,"Híbrida equilibrada, com cerca de 60% Indica e 40% Sativa","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Forbidden Fruit Cake tem um sabor frutado e doce, com notas de frutas cítricas, bagas e um leve toque de especiarias.","Esta variedade oferece um efeito equilibrado, proporcionando uma euforia cerebral suave seguida por um relaxamento corporal profundo. Forbidden Fruit Cake é frequentemente usada para aliviar o estresse, a ansiedade e a dor, sendo adequada para uso tanto diurno quanto noturno. É ideal para consumidores que buscam uma experiência saborosa e bem equilibrada, com um perfil de sabor frutado e doce."
Forbidden Runtz - Automática,https://www.dentistaseeds.com/produtos/forbidden-runtz-automatica/,Forbidden Fruit x Runtz,"Forbidden Runtz é uma variedade híbrida que combina Forbidden Fruit com Runtz. Esta combinação resulta em uma planta com um perfil de sabor doce e frutado, e efeitos eufóricos e relaxantes.",Geralmente varia entre 20% e 28%,,,"Híbrida, com cerca de 50% Sativa e 50% Indica","Em média, leva cerca de 8 a 10 semanas para florescer completamente","Tem um sabor doce e frutado, com notas predominantes de frutas tropicais, baunilha e um toque de especiarias.","Oferece um efeito eufórico e relaxante, proporcionando uma sensação de alegria, tranquilidade e alívio do estresse. Forbidden Runtz é ideal para uso diurno e noturno, sendo perfeita para consumidores que buscam uma experiência equilibrada e prazerosa."
Gelato - Automática,https://www.dentistaseeds.com/produtos/gelato-automatica/,Sunset Sherbert x Thin Mint Girl Scout Cookies,"Gelato é uma variedade híbrida que combina Sunset Sherbert com Thin Mint Girl Scout Cookies. Esta combinação resulta em uma planta com um perfil de sabor doce e cremoso, e efeitos eufóricos e relaxantes.",Geralmente varia entre 20% e 25%,,,"Híbrida, com cerca de 55% Indica e 45% Sativa","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Tem um sabor doce e cremoso, com notas predominantes de frutas cítricas, baunilha e um toque de menta.","Oferece um efeito eufórico e relaxante, proporcionando uma sensação de alegria, alívio do estresse e aumento da criatividade. Gelato é ideal para uso diurno e noturno, sendo perfeita para consumidores que buscam uma experiência equilibrada e prazerosa."
Girl Scout Cookies - Automática,https://www.dentistaseeds.com/produtos/girl-scout-cookies-automatica/,Durban Poison x OG Kush,"Girl Scout Cookies é uma variedade híbrida que combina Durban Poison com OG Kush. Esta combinação resulta em uma planta com um perfil de sabor doce e terroso, e efeitos eufóricos e relaxantes.",Geralmente varia entre 18% e 28%,,,"Híbrida, com cerca de 60% Indica e 40% Sativa","Em média, leva cerca de 8 a 10 semanas para florescer completamente","Tem um sabor doce e terroso, com notas predominantes de baunilha, chocolate e um toque de especiarias e menta.","Oferece um efeito eufórico e relaxante, proporcionando uma sensação de alegria, alívio do estresse e criatividade. Girl Scout Cookies é ideal para uso diurno e noturno, sendo perfeita para consumidores que buscam uma experiência equilibrada e prazerosa."
Glookies - Fotoperíodo,https://www.dentistaseeds.com/produtos/glookies-fotoperiodo/,Gorilla Glue #4 x Girl Scout Cookies,"Glookies combina as características de sabor e potência da Glookies com a popular Girl Scout Cookies, resultando em uma planta com um perfil de sabor doce e efeitos intensos.",Geralmente varia entre 18% e 25%,,,"Híbrida, com cerca de 50% Sativa e 50% Indica","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Tem um sabor doce e terroso, com notas predominantes de biscoitos, chocolate e um leve toque de especiarias.","Oferece um efeito eufórico e relaxante, proporcionando uma sensação de bem-estar e calma. Glookies é frequentemente usada para aliviar estresse, ansiedade e dor, sendo adequada para uso tanto diurno quanto noturno. É ideal para consumidores que buscam uma experiência doce e equilibrada com efeitos marcantes."
Gorilla Glue - Automática,https://www.dentistaseeds.com/produtos/gorilla-glue-automatica/,Chem's Sister x Sour Dubb x Chocolate Diesel,"Gorilla Glue combina a potência e a resina abundante da Chem's Sister, Sour Dubb e Chocolate Diesel, resultando em uma planta com um perfil de sabor intenso e efeitos marcantes.",Geralmente varia entre 25% e 30%,,,"Híbrida, com cerca de 50% Sativa e 50% Indica","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Tem um sabor forte e terroso, com notas predominantes de chocolate, café e um toque de pinho.","Oferece um efeito potente e relaxante, proporcionando uma sensação de euforia intensa e um relaxamento profundo. Gorilla Glue é frequentemente usada para aliviar estresse, dor e insônia, sendo adequada para uso noturno. É ideal para consumidores que buscam uma experiência robusta e bem equilibrada com um perfil de sabor complexo."
Gorilla Poison - Automática,https://www.dentistaseeds.com/produtos/gorilla-poison-automatica/,Gorilla Glue #4 x Red Poison,"Gorilla Poison é uma variedade híbrida que combina Gorilla Glue #4 com Poison. Esta combinação resulta em uma planta com um perfil de sabor intenso e terroso, e efeitos potentes e relaxantes.",Geralmente varia entre 20% e 26%,,,"Híbrida, com cerca de 60% Indica e 40% Sativa","Em média, leva cerca de 8 a 10 semanas para florescer completamente","Tem um sabor robusto e terroso, com notas predominantes de pinho e um toque de especiarias e frutas maduras.","Oferece um efeito potente e relaxante, proporcionando uma sensação de euforia profunda e alívio do estresse. Gorilla Poison é ideal para uso noturno, sendo perfeita para consumidores que buscam uma experiência intensa e reconfortante."
Gorilla Punch - Automática,https://www.dentistaseeds.com/produtos/gorilla-punch-automatica/,Gorilla Glue #4 x Purple Punch,"Gorilla Punch é uma variedade híbrida que combina Gorilla Glue #4 com Purple Punch. Esta combinação resulta em uma planta com um perfil de sabor doce e terroso, e efeitos relaxantes e eufóricos.",Geralmente varia entre 20% e 25%,,,"Híbrida, com cerca de 50% Sativa e 50% Indica","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Tem um sabor doce e terroso, com notas predominantes de frutas roxas e um toque de especiarias e chocolate.","Oferece um efeito relaxante e eufórico, proporcionando uma sensação de calma profunda e alívio do estresse. Gorilla Punch é ideal para uso noturno, sendo perfeita para consumidores que buscam uma experiência relaxante e agradável."
Grape Fruit - Fotoperíodo,https://www.dentistaseeds.com/produtos/grape-fruit-fotoperiodo/,C99 x Thai,"Grape Fruit combina as características frutadas e cítricas da Grapefruit com uma linhagem base que intensifica seu perfil de sabor doce e ácido, resultando em uma planta com uma experiência de sabor vibrante e efeitos energizantes.",Geralmente varia entre 15% e 20%,,,"Híbrida, com cerca de 60% Sativa e 40% Indica","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Tem um sabor cítrico e doce, com notas predominantes de frutas cítricas, como toranja e um leve toque de frutas tropicais.","Oferece um efeito energizante e estimulante, proporcionando uma sensação de clareza mental e criatividade. Grape Fruit é frequentemente usada para aliviar estresse e fadiga, sendo adequada para uso diurno. É ideal para consumidores que buscam uma experiência refrescante e revigorante com um perfil de sabor ácido e doce."
Grape Pie CBD - Fotoperíodo,https://www.dentistaseeds.com/produtos/grape-pie-cbd-fotoperiodo/,Grape Stomper x Cherry Pie,"Grape Pie CBD é uma variedade híbrida que combina Grape Stomper com Cherry Pie, resultando em uma planta com um perfil de sabor doce e frutado e níveis balanceados de CBD. Esta variedade é conhecida por oferecer os benefícios terapêuticos do CBD com efeitos suaves.","Geralmente baixo, cerca de 5% a 10%",,Varia entre 10% a 15%,"Híbrida, com cerca de 60% Indica e 40% Sativa","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Tem um sabor doce e frutado, com notas predominantes de uva, cereja e um toque de especiarias.","Oferece um efeito relaxante e calmante, com uma sensação de bem-estar e alívio do estresse, sem os efeitos psicoativos intensos do THC. Ideal para uso diurno ou noturno, especialmente para quem busca os benefícios medicinais do CBD."
Green Crack - Automática,https://www.dentistaseeds.com/produtos/green-crack-automatica/,Skunk #1 x Indica Desconhecida,"Green Crack é uma variedade Sativa que combina Skunk #1 com uma Indica desconhecida. Esta combinação resulta em uma planta com um perfil de sabor doce e cítrico, e efeitos energizantes e estimulantes.",Geralmente varia entre 15% e 25%,,,"Predominantemente Sativa, com cerca de 65% Sativa e 35% Indica","Em média, leva cerca de 7 a 9 semanas para florescer completamente","Tem um sabor doce e frutado, com notas predominantes de manga e um toque de especiarias e pinho.","Oferece um efeito energizante e criativo, proporcionando uma sensação de euforia, foco e aumento de energia. Green Crack é ideal para uso diurno, sendo perfeita para consumidores que buscam uma experiência estimulante e revitalizante."
Green Poison - Automática,https://www.dentistaseeds.com/produtos/green-poison-automatica/,Green Poison x Auto,Green Poison é valorizada por seu potencial de grandes colheitas e seus efeitos intensos. A combinação das linhagens Critical + e outras variedades com características semelhantes resulta em uma planta robusta e produtiva.,Geralmente varia entre 18% e 22%,,,"Híbrida, com cerca de 60% Indica e 40% Sativa","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Green Poison tem um sabor terroso e doce, com notas predominantes de especiarias e um leve toque de frutas maduras.","Esta variedade oferece um efeito potente e relaxante, proporcionando uma sensação de euforia e um relaxamento corporal profundo. Green Poison é frequentemente usada para aliviar estresse, dor e insônia, sendo adequada para uso noturno. É ideal para consumidores que buscam uma experiência potente e bem equilibrada, com um perfil de sabor terroso e doce."
Haribo - Fotoperíodo,https://www.dentistaseeds.com/produtos/haribo-fotoperiodo/,Skittlez x Afghan,"Haribo é conhecida por seu perfil doce e frutado, combinando características de linhagens base para oferecer uma experiência de sabor marcante e efeitos equilibrados.",Geralmente varia entre 18% e 22%,,,"Híbrida, com cerca de 50% Sativa e 50% Indica","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Tem um sabor doce e frutado, com notas predominantes de frutas vermelhas, cereja e um leve toque de especiarias.","Oferece um efeito equilibrado e relaxante, proporcionando uma sensação de bem-estar e leveza. Haribo é frequentemente usada para aliviar estresse e fadiga, sendo adequada para uso diurno e noturno. É ideal para consumidores que buscam uma experiência doce e calmante com um perfil de sabor marcante."
Honey Gas - Fotoperíodo,https://www.dentistaseeds.com/produtos/honey-gas-fotoperiodo/,Honey B x Gas,"Honey Gas é uma variedade que se destaca por seu perfil de sabor distinto e efeitos equilibrados. Embora a linhagem exata não seja amplamente conhecida, esta variedade combina características de outras linhagens com sabores e efeitos marcantes.",Geralmente varia entre 18% e 22%,,,"Híbrida, com aproximadamente 60% Indica e 40% Sativa","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Honey Gas tem um sabor doce e terroso, com notas de mel, especiarias e um leve toque de diesel.","Esta variedade oferece um efeito equilibrado, proporcionando um relaxamento corporal profundo acompanhado por uma leve euforia cerebral. Honey Gas é frequentemente usada para aliviar o estresse, a dor e a ansiedade, sendo adequada para uso tanto diurno quanto noturno. É ideal para consumidores que buscam uma experiência saborosa e bem equilibrada, com um perfil de sabor doce e terroso."
Jack Herer - Automática,https://www.dentistaseeds.com/produtos/jack-herer-automatica/,Haze x Northern Lights #5 x Shiva Skunk,"Jack Herer é uma variedade híbrida renomada que combina Haze, Northern Lights #5 e Shiva Skunk. Esta combinação resulta em uma planta com um perfil de sabor terroso e cítrico, e efeitos energizantes e eufóricos.",Geralmente varia entre 18% e 24%,,,"Híbrida, com cerca de 55% Sativa e 45% Indica","Em média, leva cerca de 8 a 10 semanas para florescer completamente","Tem um sabor terroso e picante, com notas predominantes de pinho, especiarias e um toque de cítricos.","Oferece um efeito energizante e estimulante, proporcionando uma sensação de euforia, clareza mental e criatividade. Jack Herer é ideal para uso diurno, sendo perfeita para consumidores que buscam uma experiência revigorante e inspiradora."
Jack Herer - Fotoperíodo,https://www.dentistaseeds.com/produtos/jack-herer-fotoperiodo/,Haze x Northern Lights #5 x Shiva Skunk,"Jack Herer é uma variedade híbrida famosa por seu efeito enérgico e sua combinação única de sabores. Desenvolvida a partir do cruzamento entre Haze, Northern Lights #5 e Shiva Skunk, esta variedade é amplamente reconhecida por sua potência e perfil de sabor distinto.",Geralmente varia entre 15% e 24%,,,"Híbrida, com cerca de 60% Sativa e 40% Indica","Em média, leva cerca de 8 a 10 semanas para florescer completamente","Jack Herer tem um sabor picante e terroso, com notas de especiarias, pinho e um leve toque de frutas cítricas.","Esta variedade proporciona um efeito eufórico e criativo, ideal para promover energia e concentração. Jack Herer é frequentemente usada para aliviar a depressão, o estresse e a fadiga, sendo adequada para uso diurno. É ideal para consumidores que buscam uma experiência estimulante e edificante, com um perfil de sabor marcante e revigorante."
Kings Kush - Automática,https://www.dentistaseeds.com/produtos/kings-kush-automatica/,OG Kush x Grape Ape,"Kings Kush é uma variedade predominantemente Indica que combina OG Kush com Grape. Esta combinação resulta em uma planta com um perfil de sabor doce e frutado, e efeitos relaxantes e sedativos.",Geralmente varia entre 18% e 24%,,,"Predominantemente Indica, com cerca de 80% Indica e 20% Sativa","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Tem um sabor doce e frutado, com notas predominantes de uva e um toque de especiarias e terra.","Oferece um efeito relaxante e sedativo, proporcionando uma sensação de calma, euforia e alívio do estresse e dor. Kings Kush é ideal para uso noturno, sendo perfeita para consumidores que buscam uma experiência tranquila e reconfortante."
Kmintz - Automática,https://www.dentistaseeds.com/produtos/kmintz-automatica/,Zkittlez x Kush Mint,"Kmintz é uma variedade híbrida conhecida por seu perfil de sabor refrescante e sua combinação de efeitos relaxantes e eufóricos. Desenvolvida a partir de variedades com características de menta e sabores doces, esta variedade é apreciada por sua experiência sensorial única.",Geralmente varia entre 18% e 22%,,,"Híbrida, com cerca de 50% Sativa e 50% Indica","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Kmintz tem um sabor refrescante e doce, com notas predominantes de menta, hortelã e um leve toque de frutas.","Esta variedade oferece um efeito equilibrado, proporcionando uma sensação de euforia leve e relaxamento corporal suave. Kmintz é frequentemente usada para aliviar estresse, ansiedade e dor leve, sendo adequada para uso tanto diurno quanto noturno. É ideal para consumidores que buscam uma experiência refrescante e bem equilibrada, com um perfil de sabor mentolado e doce."
Kosher Kush - Fotoperíodo,https://www.dentistaseeds.com/produtos/kosher-kush-fotoperiodo/,OG Kush x não revelada (possivelmente uma variedade Afegã),"Kosher Kush é uma variedade indica dominante conhecida por seus efeitos relaxantes e seu sabor robusto. Desenvolvida a partir de OG Kush e possivelmente uma linhagem Afegã, esta variedade é apreciada por sua potência e efeito sedativo.",Geralmente varia entre 20% e 25%,,,"Predominantemente Indica, com cerca de 90% Indica e 10% Sativa","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Kosher Kush tem um sabor terroso e pungente, com notas de pinho, especiarias e um leve toque de frutas cítricas.","Esta variedade oferece um efeito profundamente relaxante e sedativo, ideal para aliviar o estresse, a dor e a insônia. Kosher Kush é conhecida por induzir uma sensação de calma e bem-estar corporal, tornando-se uma escolha popular para uso noturno. É ideal para consumidores que buscam uma experiência potente e tranquilizante, com um perfil de sabor robusto e terroso."
Lemon Pie - Automática,https://www.dentistaseeds.com/produtos/lemon-pie-automatica/,Lemon Skunk x Amnesia Haze,"Lemon Pie é uma variedade híbrida conhecida por seu sabor doce e cítrico, semelhante a uma torta de limão. Esta variedade é apreciada por seus efeitos agradáveis e seu perfil de sabor marcante.",Geralmente varia entre 18% e 22%,,,"Híbrida, com cerca de 60% Sativa e 40% Indica","Em média, leva cerca de 8 a 9 semanas para florescer completamente","Lemon Pie tem um sabor doce e cítrico, com notas predominantes de limão, baunilha e um leve toque de especiarias.","Esta variedade proporciona um efeito equilibrado, oferecendo uma sensação de euforia leve e um relaxamento corporal suave. Lemon Pie é frequentemente usada para aliviar estresse, ansiedade e fadiga, sendo adequada para uso diurno. É ideal para consumidores que buscam uma experiência saborosa e bem equilibrada, com um perfil de sabor doce e refrescante."
